Generation,Mean_RMSE,Std_Dev,Best_RMSE
0,99.439064,1.0760964,97.14284
1,94.44743,1.8967042,91.72746
2,91.99485,1.4083083,88.89061
3,88.02382,1.9868717,83.10818
4,84.78847,2.0761337,80.79994
5,81.79787,2.1972768,74.9182
6,79.26465,1.7384737,74.69362
7,77.94448,1.8352425,72.49737
8,75.791115,1.5585461,72.12739
9,73.94324,1.7103447,70.1877
10,72.927124,1.8288113,68.5692
11,71.70618,1.5414587,68.5692
12,70.4257,1.8916589,66.49435
13,69.45729,1.6050848,66.31872
14,68.47362,1.8120703,64.84686
15,67.61281,1.8392016,64.272415
16,66.60469,1.6804957,63.529762
17,65.92485,1.6519243,63.529762
18,65.19091,1.6058892,62.613686
19,64.52201,1.5979898,62.492214
20,63.844727,1.6328019,61.326244
21,63.304962,1.5904181,60.904243
22,62.63374,1.6658372,60.09917
23,62.121716,1.6374863,59.52536
24,61.667103,1.5802101,59.170616
25,61.135956,1.5577651,58.463993
26,60.57442,1.565206,58.204567
27,60.17356,1.5777994,57.921818
28,59.768044,1.5752932,57.335106
29,59.323784,1.4298577,57.16138
30,58.91029,1.4759935,56.51887
31,58.526905,1.4263216,56.39191
32,58.168446,1.3522402,55.960075
33,57.78058,1.3872262,55.218304
34,57.35013,1.3369491,55.14843
35,57.069405,1.2556401,55.14843
36,56.755913,1.3097078,54.907974
37,56.37077,1.2691457,54.512466
38,55.97692,1.3440187,54.01293
39,55.726543,1.2778525,53.934906
40,55.34577,1.2482998,53.264175
41,55.02932,1.1836256,52.515697
42,54.711456,1.2171489,51.67066
43,54.48043,1.2304171,51.483368
44,54.17002,1.2019277,51.362404
45,53.89733,1.2827407,51.013992
46,53.719593,1.182663,51.013992
47,53.401093,1.1840911,50.799873
48,53.05851,1.1905819,50.430073
49,52.87931,1.2219269,50.196125
50,52.734314,1.2225046,50.005524
51,52.504128,1.2604711,49.849197
52,52.355522,1.2326636,49.489613
53,52.094963,1.225001,49.357285
54,51.872517,1.2488596,49.201435
55,51.78068,1.2495639,48.921932
56,51.53136,1.2721303,48.488903
57,51.39264,1.2526449,48.46656
58,51.170708,1.2309576,48.324883
59,50.994686,1.2065109,48.186954
60,50.794765,1.231965,47.853073
61,50.656895,1.252092,47.505497
62,50.500267,1.2371726,47.462284
63,50.277504,1.234687,47.175766
64,50.100792,1.2189041,47.175766
65,49.94818,1.224004,47.03039
66,49.830025,1.2284698,47.03039
67,49.630135,1.1722045,46.811123
68,49.5314,1.1884819,46.744694
69,49.391075,1.1832219,46.73922
70,49.285454,1.2053032,46.53878
71,49.13636,1.1937298,46.46323
72,49.013542,1.1972798,46.414867
73,48.8895,1.174725,46.343357
74,48.763653,1.1835759,46.195015
75,48.627037,1.167945,46.106903
76,48.50231,1.1624998,46.06251
77,48.40705,1.1651757,45.994118
78,48.276066,1.1493222,45.91087
79,48.16665,1.1661953,45.838696
80,48.041958,1.1410592,45.781406
81,47.921375,1.1475707,45.781406
82,47.78976,1.1180847,45.577003
83,47.675896,1.1147573,45.404667
84,47.560112,1.1410656,45.404667
85,47.461502,1.1715307,45.241776
86,47.350273,1.1886659,45.152626
87,47.2551,1.1778722,45.13301
88,47.167835,1.1700811,45.10663
89,47.04555,1.1587403,45.043022
90,46.945946,1.1782548,44.912533
91,46.855633,1.1728164,44.81298
92,46.771988,1.1941639,44.71505
93,46.675465,1.2005632,44.685173
94,46.56305,1.1877372,44.604347
95,46.48209,1.2016413,44.550316
96,46.36519,1.200715,44.462868
97,46.2532,1.1897913,44.327847
98,46.1631,1.1837889,44.269512
99,46.098923,1.1702231,44.269512
100,45.990055,1.174155,44.164722
101,45.917805,1.1799127,44.090405
102,45.84983,1.1847199,43.94352
103,45.75986,1.2238808,43.634335
104,45.68474,1.2161678,43.634335
