,Gen_0,Gen_50,Gen_100,Gen_150,Gen_200,Gen_250,Gen_300,Gen_350,Gen_400,Gen_450,Gen_500,Gen_550,Gen_600,Gen_650,Gen_700,Gen_750,Gen_800,Gen_850,Gen_900,Gen_950,Gen_1000,Gen_1050,Gen_1100,Gen_1150,Gen_1200,Gen_1250,Gen_1300,Gen_1350,Gen_1400,Gen_1450,Gen_1500,Gen_1550,Gen_1600,Gen_1650,Gen_1700,Gen_1750,Gen_1800,Gen_1850,Gen_1900,Gen_1950
Run_1,99.91,55.13,49.14,48.03,46.22,44.72,43.7,43.0,42.48,41.62,41.28,40.64,40.05,39.74,39.74,39.53,39.23,38.98,38.84,38.78,38.68,38.56,38.52,38.41,38.22,38.17,38.17,38.17,38.17,37.67,37.51,36.98,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.84
Run_2,99.05,54.99,51.82,48.92,47.96,46.21,45.37,44.69,43.45,42.81,42.24,41.86,41.35,41.32,41.32,40.84,40.84,40.84,40.84,40.84,40.84,40.84,40.84,40.84,39.83,39.83,39.59,39.59,39.59,39.59,39.59,39.59,39.5,39.14,38.52,38.52,38.47,37.98,37.76,37.76
Run_3,98.08,55.34,49.66,49.3,48.54,47.8,47.22,45.95,45.16,44.47,44.21,43.85,42.87,42.41,41.87,41.44,40.99,40.8,40.8,40.74,40.74,40.74,40.74,40.14,40.12,40.12,40.12,39.63,39.4,38.95,38.92,38.92,38.74,38.74,38.74,38.64,38.57,38.16,38.16,38.16
Run_4,99.73,54.14,47.95,44.14,43.91,43.41,42.93,42.71,42.24,41.74,41.04,40.74,40.29,40.0,39.53,39.34,39.13,38.9,38.77,38.73,38.56,38.52,38.5,38.37,38.32,38.26,38.24,38.22,38.22,38.09,38.03,38.0,37.86,37.86,37.65,37.58,37.54,37.54,37.54,37.47
Run_5,100.69,53.47,46.56,46.37,44.65,43.5,42.92,41.76,41.3,40.86,40.75,40.1,39.59,39.27,38.76,38.33,37.78,37.23,36.87,36.6,36.55,36.29,36.29,36.28,35.63,35.62,35.18,34.87,34.68,34.3,34.3,34.3,34.3,34.3,34.3,34.1,34.1,33.99,33.97,33.97
Run_6,98.8,56.68,47.9,43.5,42.46,41.29,40.12,39.57,38.82,38.29,37.94,37.79,37.23,36.82,36.49,36.04,35.85,35.53,34.94,34.59,34.37,34.2,33.71,33.71,33.71,33.7,33.64,33.42,33.33,33.33,33.33,33.0,33.0,32.88,32.67,32.52,32.52,32.52,32.52,32.38
Run_7,97.88,57.09,49.7,46.92,46.49,45.6,44.44,43.58,42.89,42.1,41.75,41.53,41.32,41.14,40.62,40.32,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.17,40.17,39.66,39.4,39.33,39.33,39.21,39.21,39.21,39.21,39.01,39.01
Run_8,100.46,53.74,46.8,42.32,39.08,39.08,39.08,38.77,38.18,37.5,37.16,36.8,36.57,36.57,36.57,36.57,36.57,36.57,36.36,36.16,36.02,36.01,36.01,35.87,35.01,34.96,34.5,34.07,33.86,33.77,33.53,33.52,33.47,33.38,33.37,33.33,33.21,33.21,33.18,33.18
Run_9,100.13,54.6,47.68,46.66,44.76,43.31,42.69,41.87,41.3,41.1,40.71,40.15,39.38,39.06,38.88,38.26,37.91,37.56,37.32,37.13,37.09,36.48,36.27,36.27,36.27,35.95,35.68,35.53,35.47,35.47,35.1,35.1,35.01,34.92,34.92,34.92,34.65,34.48,34.44,34.32
Run_10,100.07,55.7,48.59,45.18,43.46,43.46,43.46,43.46,42.45,42.08,41.77,41.34,40.75,40.39,40.24,40.24,40.06,39.75,39.29,38.96,38.96,38.96,38.63,38.31,38.06,37.73,37.62,37.62,37.62,37.62,37.62,37.62,37.59,37.51,37.45,37.45,37.45,37.45,37.45,37.45
Run_11,99.36,56.42,52.86,49.48,47.14,45.98,45.34,44.68,43.83,43.22,42.74,42.43,41.07,40.87,40.17,39.4,38.8,38.49,37.98,37.85,37.66,37.56,37.42,37.29,37.29,37.04,37.04,37.04,37.01,36.91,36.79,36.79,36.79,36.79,36.79,36.79,36.79,36.77,36.77,36.73
Run_12,98.45,56.39,48.89,45.25,45.23,43.86,42.63,41.81,41.43,40.96,40.77,40.38,39.88,39.32,39.24,39.12,39.07,38.94,38.87,38.82,38.76,38.49,37.81,37.07,36.98,36.72,36.67,36.3,36.14,36.11,36.04,36.01,36.01,35.99,35.99,35.95,35.77,35.77,35.77,35.77
Run_13,98.88,57.65,51.17,46.03,43.03,43.03,43.03,42.55,40.87,39.7,39.19,38.63,38.2,37.92,37.72,37.52,37.2,36.87,36.54,36.54,36.54,36.54,36.54,36.54,36.54,36.54,35.98,35.85,35.85,35.68,35.41,35.36,35.36,35.16,35.07,35.02,35.02,35.0,34.91,34.91
Run_14,100.24,56.21,49.77,46.69,46.6,46.02,44.94,43.82,42.72,42.17,41.9,41.42,41.42,41.08,40.62,40.35,40.17,39.97,39.97,39.97,39.97,39.55,39.42,39.12,39.12,39.12,38.96,38.8,38.65,38.45,38.36,38.36,38.36,38.13,38.13,38.13,38.13,38.13,38.13,38.13
