Generation,Mean_RMSE,Std_Dev,Best_RMSE
0,99.20901,1.0251914,96.548935
1,95.01463,2.0821803,90.203606
2,92.36829,1.3200387,90.203606
3,88.809296,2.3707888,85.14108
4,85.64975,1.7121322,82.54273
5,84.09898,1.4989938,81.59798
6,81.81871,1.4845093,78.987144
7,79.56572,2.1265647,74.82848
8,77.96698,1.7593951,74.82848
9,76.66997,1.805382,73.943344
10,75.113625,1.3670161,72.2739
11,74.01691,1.474092,71.59979
12,73.0537,1.4659653,70.30693
13,72.239456,1.5527253,69.58897
14,71.03878,1.5350465,68.17217
15,70.36818,1.4889336,68.078896
16,69.54069,1.5922921,66.74963
17,68.8703,1.5472246,66.74963
18,68.10874,1.3026595,66.34007
19,67.36209,1.3270825,65.72914
20,66.92342,1.3582969,65.191216
21,66.1867,1.3909798,64.27092
22,65.69153,1.4388605,63.99016
23,65.134964,1.323131,63.529167
24,64.74126,1.3214809,63.305466
25,64.107956,1.4078914,62.244335
26,63.608177,1.3595914,61.74491
27,63.24702,1.3927175,61.089474
28,62.803295,1.3345321,60.913223
29,62.280914,1.373723,60.213356
30,61.82607,1.4224458,59.531807
31,61.537373,1.43756,59.03167
32,61.065765,1.482525,57.966503
33,60.63775,1.4513421,57.884975
34,60.304955,1.3999487,57.86723
35,59.958576,1.4893501,57.446507
36,59.628204,1.487546,57.092686
37,59.154896,1.4640359,56.376255
38,58.79759,1.48398,56.376255
39,58.49704,1.4120567,56.16006
40,58.19953,1.4157088,55.49805
41,57.940228,1.3967993,55.49805
42,57.690468,1.4202049,55.49805
43,57.42798,1.4345927,54.91255
44,57.191174,1.4209986,54.795425
45,56.976357,1.3558029,54.493977
46,56.738808,1.3364304,54.392914
47,56.516644,1.2814885,54.291687
48,56.275787,1.253646,53.932686
49,56.023632,1.2447034,53.46902
50,55.80744,1.2790666,53.46902
51,55.588146,1.261195,52.96476
52,55.41326,1.227483,52.782837
53,55.233643,1.300043,52.636097
54,55.097095,1.2650261,52.603436
55,54.901787,1.2538344,52.412544
56,54.716297,1.3135262,52.07061
57,54.516224,1.2864567,52.07061
58,54.349724,1.3746756,51.38631
59,54.213795,1.36889,51.38631
60,54.057423,1.4054755,51.328506
61,53.890587,1.3931488,51.258694
62,53.810173,1.397561,51.170273
63,53.688618,1.4125139,50.915417
64,53.546684,1.4213338,50.819794
65,53.355328,1.4360895,50.664406
66,53.219147,1.4242324,50.664406
67,53.094166,1.4499028,50.483414
68,52.890587,1.4372399,50.355217
69,52.78078,1.4250311,50.355217
70,52.645226,1.4716318,50.088207
71,52.507484,1.4298671,50.088207
72,52.36867,1.4200667,49.897377
73,52.20518,1.4473212,49.736954
74,52.09544,1.4463452,49.61308
75,51.957336,1.5080057,49.37069
76,51.852837,1.4648801,49.37069
77,51.75364,1.4749377,49.229855
78,51.633953,1.4400343,49.223793
79,51.489967,1.4873762,48.901253
80,51.368275,1.4959036,48.86137
81,51.287354,1.4957106,48.763874
82,51.187298,1.494784,48.686077
83,51.045765,1.4847002,48.59738
84,50.88296,1.5117376,48.144238
85,50.766785,1.5458533,48.061382
86,50.66248,1.5613095,48.019764
87,50.561424,1.5291673,47.937202
88,50.469006,1.5479816,47.846592
89,50.368324,1.5915409,47.428246
90,50.25754,1.5676757,47.41397
91,50.17519,1.5983553,47.316998
92,50.06286,1.6085453,47.161
93,49.95969,1.641336,47.08565
94,49.8496,1.6661942,47.08565
95,49.78103,1.6947078,47.012875
96,49.671265,1.6420115,46.97195
97,49.556904,1.6372283,46.772804
98,49.475456,1.6528229,46.772804
99,49.38799,1.6613249,46.578518
100,49.302193,1.6696726,46.564213
101,49.220932,1.676524,46.564213
102,49.12669,1.6271673,46.564213
103,49.050133,1.6191245,46.49574
104,49.00029,1.6247962,46.49574
105,48.92475,1.5942014,46.437916
106,48.839302,1.605923,46.23178
107,48.798443,1.6108458,46.23178
108,48.729664,1.6068194,46.176296
109,48.679207,1.6417474,46.07224
110,48.62383,1.6501154,45.935524
111,48.5334,1.7068713,45.408764
112,48.49412,1.7235703,45.408764
113,48.43527,1.7284074,45.291794
114,48.379383,1.7309369,45.283554
115,48.34957,1.7549733,45.22184
116,48.292355,1.7515855,45.139587
117,48.21722,1.7502606,45.02369
118,48.15846,1.7496432,45.001877
119,48.075233,1.7387837,44.93385
120,48.022667,1.764886,44.7979
121,47.95849,1.7678089,44.742584
122,47.88108,1.748074,44.61393
123,47.851364,1.7583746,44.603092
124,47.7982,1.7948406,44.482204
125,47.76823,1.7909377,44.482204
126,47.692333,1.8398325,44.400272
127,47.642616,1.8590525,44.1222
128,47.591988,1.8802221,44.1222
129,47.517704,1.8891897,44.08581
130,47.47455,1.9204899,43.887993
131,47.438633,1.9401515,43.808697
132,47.371956,1.9691856,43.587852
133,47.308167,1.9487569,43.587852
134,47.25437,1.9378217,43.558537
135,47.20631,1.976108,43.353806
136,47.161854,1.9925252,43.334255
137,47.117104,2.0144134,43.20104
138,47.074474,2.0199354,43.12975
139,47.02297,2.0273356,43.05743
140,46.954426,2.040981,42.945137
141,46.915565,2.060628,42.77228
142,46.884674,2.080059,42.735306
143,46.814007,2.0711217,42.637268
144,46.749706,2.0815303,42.563995
145,46.691578,2.084275,42.415997
146,46.64853,2.1001189,42.415997
147,46.578163,2.0760279,42.397423
148,46.524105,2.1029792,42.393898
149,46.44671,2.0756695,42.367138
150,46.374004,2.0767882,42.319542
151,46.321102,2.0580943,42.241608
152,46.299946,2.0646555,42.241608
153,46.264503,2.0551724,42.218555
154,46.247868,2.0662594,42.12216
155,46.2116,2.0468173,42.091488
156,46.191383,2.0623982,42.01533
157,46.163666,2.0617003,41.9274
158,46.13577,2.0584233,41.879166
159,46.099693,2.0477529,41.819733
160,46.083427,2.069377,41.693375
161,46.040455,2.0455844,41.693375
162,46.012505,2.026461,41.693375
163,45.970818,2.0404704,41.636135
164,45.96242,2.042725,41.58491
165,45.938553,2.0608165,41.513996
166,45.92029,2.065642,41.513996
167,45.878517,2.096725,41.251694
168,45.856033,2.094841,41.251694
169,45.83168,2.1140587,41.170525
170,45.815933,2.1254504,41.091106
171,45.797817,2.1391876,41.061623
172,45.77138,2.149591,40.940655
173,45.74131,2.1447535,40.868954
174,45.720413,2.160845,40.844414
175,45.70039,2.180274,40.814564
176,45.649303,2.1916676,40.629562
177,45.626904,2.1893334,40.629562
178,45.5875,2.207167,40.574184
179,45.547966,2.2088952,40.541576
180,45.527428,2.2163956,40.46428
181,45.50364,2.2171347,40.374985
182,45.47857,2.2259333,40.35071
183,45.45069,2.244563,40.345936
184,45.40603,2.2598085,40.22968
185,45.368202,2.2910986,40.16377
186,45.330647,2.3182914,39.96619
187,45.293037,2.3098361,39.859543
188,45.241238,2.2969937,39.848232
189,45.222942,2.308443,39.768982
190,45.19471,2.3148398,39.721092
191,45.17337,2.3240159,39.675453
192,45.152313,2.3332484,39.675453
193,45.10212,2.3609395,39.489674
194,45.082336,2.3831806,39.31195
195,45.060345,2.3834264,39.31195
196,45.032913,2.3900542,39.301266
197,44.994007,2.3980014,39.206192
198,44.95387,2.4116497,39.13396
199,44.939556,2.40962,39.13396
200,44.90078,2.4201286,39.075592
201,44.88546,2.4170282,39.075592
202,44.85398,2.3896925,39.075592
203,44.80564,2.3857102,39.075592
204,44.7968,2.3779259,39.075592
205,44.7595,2.3712134,39.075592
206,44.74638,2.3687103,39.075592
207,44.74086,2.374516,39.075592
208,44.7183,2.3578548,39.075592
209,44.690845,2.3404956,39.075592
210,44.68029,2.3512545,39.075592
211,44.67187,2.3476624,39.075592
212,44.666405,2.343225,39.075592
213,44.642403,2.3274865,39.075592
214,44.61606,2.3141932,39.075592
215,44.589783,2.3115702,39.075592
216,44.573174,2.3073854,39.075592
217,44.553368,2.2990515,39.075592
218,44.527744,2.2983873,39.075592
219,44.516026,2.286141,39.075592
220,44.494804,2.265453,39.075592
221,44.483803,2.271947,39.075592
222,44.451385,2.2579987,39.075592
223,44.431507,2.2590427,39.075592
224,44.4121,2.248268,39.075592
225,44.38608,2.2380931,39.075592
226,44.373573,2.2434876,39.075592
227,44.340225,2.2432835,39.075592
228,44.333218,2.2398937,39.075592
229,44.304848,2.225099,39.075592
230,44.292347,2.2182593,39.075592
231,44.264923,2.2145338,39.075592
232,44.240067,2.199713,39.075592
233,44.231525,2.198653,39.075592
234,44.20305,2.2012024,39.075592
235,44.190815,2.1978326,39.075592
236,44.18194,2.1996825,39.075592
237,44.16176,2.1941977,39.075592
238,44.15851,2.195141,39.075592
239,44.126472,2.1926744,39.075592
240,44.117737,2.1959894,39.075592
241,44.110313,2.1887124,39.075592
242,44.105713,2.1868305,39.075592
243,44.089867,2.1751933,39.075592
244,44.082542,2.16971,39.075592
245,44.067463,2.1650424,39.075592
246,44.048172,2.1499476,39.075592
247,44.04001,2.1501307,39.075592
248,43.99833,2.1216586,39.075592
249,43.979362,2.1180363,39.075592
250,43.956795,2.1092834,39.075592
251,43.950935,2.1099916,39.075592
252,43.93031,2.1028001,39.075592
253,43.918743,2.093426,39.075592
254,43.908875,2.091084,39.075592
255,43.886135,2.0919058,39.075592
256,43.87783,2.0832593,39.075592
257,43.85312,2.0935292,39.075592
258,43.812714,2.0829136,39.075592
259,43.78285,2.069614,39.075592
260,43.759968,2.0617604,39.075592
261,43.758392,2.0608664,39.075592
262,43.75555,2.0625937,39.075592
263,43.73476,2.0461729,39.075592
264,43.71109,2.0375383,39.075592
265,43.684715,2.0268338,39.075592
266,43.677166,2.0223725,39.075592
267,43.663902,2.028365,39.075592
268,43.65359,2.0301754,39.075592
269,43.63978,2.0174875,39.075592
270,43.609573,2.025349,39.075592
271,43.605064,2.0239131,39.075592
272,43.59976,2.0151803,39.075592
273,43.563805,2.014549,39.075592
274,43.53975,2.0140626,39.075592
275,43.518276,2.0167031,39.075592
276,43.503693,2.0137258,39.075592
277,43.497227,2.0171664,39.075592
278,43.477367,2.0208337,39.075592
279,43.4728,2.021986,39.075592
280,43.470894,2.0205824,39.075592
281,43.443417,2.0336363,39.075592
282,43.42594,2.0188217,39.075592
283,43.40846,2.0242562,39.075592
284,43.37345,2.0227594,39.075592
285,43.37345,2.0227594,39.075592
286,43.365368,2.0207202,39.075592
287,43.343884,2.01756,39.075592
288,43.3299,2.01228,39.075592
289,43.31365,2.002447,39.075592
290,43.307594,2.00054,39.075592
291,43.29243,1.9893016,39.075592
292,43.27729,1.9939109,39.075592
293,43.258907,1.9793993,39.075592
294,43.24624,1.9772636,39.075592
295,43.227108,1.9861057,39.075592
