,Gen_0,Gen_50,Gen_100,Gen_150,Gen_200,Gen_250,Gen_300,Gen_350,Gen_400,Gen_450,Gen_500,Gen_550,Gen_600,Gen_650,Gen_700,Gen_750,Gen_800,Gen_850,Gen_900,Gen_950,Gen_1000,Gen_1050,Gen_1100,Gen_1150,Gen_1200,Gen_1250,Gen_1300,Gen_1350,Gen_1400,Gen_1450,Gen_1500,Gen_1550,Gen_1600,Gen_1650,Gen_1700,Gen_1750,Gen_1800,Gen_1850,Gen_1900,Gen_1950
Run_1,98.49,55.2,47.33,44.01,42.91,42.04,40.95,40.26,39.98,39.35,39.15,38.81,38.47,38.11,37.65,37.08,36.45,36.16,35.96,35.73,35.55,35.41,35.01,34.69,34.09,33.76,33.64,33.17,33.13,32.65,32.49,32.37,32.29,32.07,31.95,31.85,31.84,31.84,31.64,31.35
Run_2,98.39,50.68,44.18,41.48,39.71,37.64,36.92,36.04,35.2,34.72,33.91,33.23,32.75,32.61,32.22,32.11,32.11,32.11,31.78,31.5,31.06,31.06,31.06,31.06,31.0,30.66,30.57,30.41,30.31,30.2,30.2,30.2,30.2,30.19,30.07,30.07,30.07,30.07,30.07,30.07
Run_3,100.16,51.55,43.69,39.68,38.79,37.82,36.8,35.76,35.2,34.72,34.01,33.52,32.87,32.63,32.18,32.13,31.58,31.08,30.87,30.64,30.23,30.11,30.11,29.88,29.81,29.81,29.81,29.33,29.01,28.76,28.65,28.57,28.47,28.19,28.19,28.19,27.86,27.86,27.86,27.69
Run_4,99.6,51.56,44.37,41.04,38.66,36.91,36.44,35.89,35.68,35.31,35.05,34.82,34.73,34.6,34.56,34.51,34.44,34.3,34.17,34.14,34.1,34.04,33.84,33.76,33.66,33.59,33.59,33.5,33.43,33.43,33.39,33.2,33.17,33.13,33.13,33.13,33.13,33.13,33.13,33.01
Run_5,100.41,52.97,47.29,43.7,42.5,41.56,40.3,38.91,38.12,36.94,36.18,35.93,35.26,34.63,34.33,33.64,33.35,32.91,32.35,31.87,31.87,31.41,31.26,31.06,30.84,30.82,30.82,30.82,30.77,30.71,30.71,30.71,30.71,30.41,30.4,30.39,30.39,30.39,30.39,30.39
Run_6,100.38,51.14,45.38,42.65,41.19,40.35,39.34,38.3,37.61,36.69,36.21,36.06,35.82,35.56,35.3,35.05,34.78,34.45,34.24,33.91,33.65,33.47,33.33,33.31,33.24,33.15,33.01,32.98,32.77,32.7,32.58,32.48,32.41,32.35,32.35,32.34,32.34,32.21,32.19,32.19
Run_7,98.55,52.32,45.87,43.11,39.89,38.74,37.46,36.44,35.0,34.49,33.76,33.42,33.18,32.98,32.81,32.58,32.2,31.96,31.86,31.42,31.32,31.15,30.83,30.79,30.67,30.63,30.5,30.5,30.35,30.29,30.29,30.18,30.09,30.09,30.05,30.05,30.05,30.02,29.99,29.83
Run_8,100.12,52.92,47.49,44.28,41.84,40.92,40.32,39.55,38.55,37.75,36.78,35.99,35.85,35.69,35.65,35.33,34.91,34.63,34.63,34.33,33.95,33.73,33.51,33.25,32.98,32.75,32.62,32.08,31.88,31.83,31.57,31.31,31.16,31.16,31.09,31.09,31.09,31.09,30.89,30.82
Run_9,98.97,50.97,44.66,40.64,38.66,37.11,36.18,35.59,35.02,34.8,34.01,33.72,33.32,33.06,32.66,32.53,32.31,32.17,31.91,31.72,31.72,31.65,31.65,31.48,30.89,30.89,30.81,30.73,30.48,30.42,30.38,30.31,30.31,30.23,30.05,30.05,30.05,29.74,29.62,29.24
Run_10,101.19,51.9,44.77,42.07,39.55,38.15,36.58,35.35,34.44,34.02,33.53,33.13,32.69,32.56,32.19,32.01,31.9,31.8,31.66,31.46,31.22,31.06,30.91,30.88,30.69,30.6,30.56,30.37,30.17,30.16,30.15,29.93,29.93,29.93,29.93,29.69,29.49,29.36,29.28,29.28
Run_11,98.63,53.18,45.87,43.04,40.7,38.87,38.02,37.16,36.47,35.79,35.13,34.74,34.51,34.28,33.85,33.29,32.9,32.47,32.0,31.78,31.78,31.41,31.29,31.02,30.9,30.84,30.8,30.79,30.68,30.57,30.54,30.38,30.38,30.38,30.38,30.38,29.92,29.9,29.83,29.83
Run_12,98.41,55.31,44.18,39.85,37.54,37.25,36.37,35.82,35.25,34.63,34.36,33.86,33.45,33.32,33.0,32.87,32.74,32.74,32.47,32.34,32.28,32.12,31.92,31.7,31.7,31.39,31.31,31.31,31.31,31.31,31.31,31.28,31.17,31.01,30.88,30.68,30.39,30.2,30.12,30.12
Run_13,97.97,52.96,46.99,42.75,40.89,39.34,38.16,37.23,35.46,34.82,34.26,33.48,32.95,32.47,32.33,31.86,31.76,31.76,31.55,31.26,31.14,31.07,30.89,30.59,30.52,30.4,30.25,30.22,30.17,30.17,30.17,30.17,30.17,30.17,30.11,29.94,29.82,29.79,29.76,29.45
Run_14,100.06,52.91,46.2,42.47,40.98,39.44,38.2,37.14,36.1,35.39,34.85,33.75,33.27,32.83,32.37,32.1,31.73,31.44,31.25,30.95,30.88,30.67,30.53,30.5,30.5,30.38,30.33,30.25,30.11,30.05,29.97,29.96,29.94,29.94,29.94,29.94,29.94,29.94,29.94,29.94
Run_15,99.34,54.83,45.79,42.4,40.64,39.91,38.82,38.3,37.84,37.38,37.0,36.71,36.43,36.23,36.01,35.86,35.76,35.64,35.55,35.44,35.33,35.3,35.29,35.29,35.11,35.01,34.92,34.9,34.86,34.8,34.72,34.72,34.72,34.72,34.72,34.72,34.35,34.29,34.29,34.29
Run_16,99.17,54.84,48.74,43.87,41.5,38.93,37.26,36.11,35.24,34.44,33.94,32.91,32.5,31.85,31.74,31.48,31.39,30.94,30.84,30.53,30.39,30.14,29.81,29.63,29.54,29.5,29.5,29.5,29.5,29.49,29.43,29.43,29.43,29.43,29.43,29.43,29.13,28.88,28.83,28.83
Run_17,100.52,52.94,46.34,43.37,41.84,40.67,39.08,37.95,37.1,36.55,35.95,35.27,34.78,33.99,33.42,33.01,32.87,32.75,32.57,32.39,31.76,31.67,31.4,31.25,30.97,30.66,30.48,30.46,30.26,30.09,29.87,29.82,29.74,29.57,29.49,29.37,29.25,29.22,29.15,29.11
Run_18,98.93,52.19,45.2,41.51,40.44,39.06,38.56,38.03,37.36,36.92,36.69,36.31,35.81,35.45,35.27,35.13,35.01,35.0,34.63,34.63,34.43,34.29,34.13,34.08,33.93,33.88,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.69,33.47,33.45,33.45,33.45,33.45
Run_19,100.8,49.37,42.84,40.07,38.74,37.64,37.03,36.55,36.04,35.7,35.54,35.32,35.12,34.85,34.72,34.43,33.86,33.55,33.47,33.23,32.82,32.19,31.93,31.74,31.62,31.22,30.83,30.61,30.61,30.51,30.5,30.22,30.19,29.95,29.94,29.94,29.94,29.94,29.94,29.94
Run_20,98.31,49.63,42.66,38.94,37.85,36.71,35.81,35.23,34.99,34.35,34.12,33.78,33.55,33.47,33.26,32.99,32.73,32.32,32.03,31.91,31.76,31.59,31.39,31.13,30.93,30.82,30.6,30.23,30.08,29.97,29.97,29.83,29.69,29.69,29.69,29.57,29.39,29.21,29.17,29.17
