Generation,Mean_RMSE,Std_Dev,Best_RMSE
0,99.41999999999999,0.9434405121680959,97.97
50,52.468500000000006,1.6630552456247514,49.37
100,45.492000000000004,1.5701101872161718,42.66
150,42.0465,1.5414060950962922,38.94
200,40.241,1.490892014868951,37.54
250,38.953,1.5385060935855928,36.71
300,37.93000000000001,1.4644589444569627,35.81
350,37.0805,1.4199558972024442,35.23
400,36.332499999999996,1.4512783158305635,34.44
450,35.738,1.3720444599210333,34.02
500,35.221500000000006,1.4152783295168487,33.53
550,34.73800000000001,1.500188654803123,32.91
600,34.36549999999999,1.541899721123264,32.5
650,34.058499999999995,1.5431923891725228,31.85
700,33.775999999999996,1.561311628087103,31.74
750,33.4995,1.5196462581798431,31.48
800,33.239,1.4699418355839797,31.39
850,33.009,1.4914888534615334,30.94
900,32.78950000000001,1.5130679925237995,30.84
950,32.559,1.5579053244661554,30.53
1000,32.362,1.5587418002992024,30.23
1050,32.17700000000001,1.577219388671087,30.11
1100,32.00449999999999,1.5648433627682996,29.81
1150,31.854499999999994,1.5792766540413365,29.63
1200,31.679499999999997,1.5324048910128159,29.54
1250,31.538,1.5139009214608465,29.5
1300,31.434500000000003,1.5068227334361537,29.5
1350,31.295000000000005,1.5084710802663734,29.33
1400,31.181000000000004,1.5402529013119894,29.01
1450,31.09250000000001,1.541949658711334,28.76
1500,31.0315,1.5337446821423706,28.65
1550,30.940500000000004,1.5373499113734648,28.57
1600,30.895500000000006,1.5449740289079297,28.47
1650,30.817500000000006,1.5684606306821987,28.19
1700,30.774,1.5699216540961523,28.19
1750,30.714500000000005,1.5660570711184185,28.19
1800,30.59450000000001,1.5889288058311495,27.86
1850,30.52650000000001,1.6096529905541759,27.86
1900,30.476999999999997,1.6142896270496199,27.86
1950,30.4,1.6321550171475747,27.69
2000,30.351500000000005,1.6540413386611594,27.46
