,Gen_0,Gen_50,Gen_100,Gen_150,Gen_200,Gen_250,Gen_300,Gen_350,Gen_400,Gen_450,Gen_500,Gen_550,Gen_600,Gen_650,Gen_700,Gen_750,Gen_800,Gen_850,Gen_900,Gen_950,Gen_1000,Gen_1050,Gen_1100,Gen_1150,Gen_1200,Gen_1250,Gen_1300,Gen_1350,Gen_1400,Gen_1450,Gen_1500,Gen_1550,Gen_1600,Gen_1650,Gen_1700,Gen_1750,Gen_1800,Gen_1850,Gen_1900,Gen_1950
Run_1,107.288025,81.35369,81.35369,81.08447,80.027534,80.027534,79.56687,75.1045,75.1045,74.91094,67.70128,67.70128,67.70128,66.3762,63.950718,58.419323,58.14442,51.545822,51.01626,50.97673,46.810616,45.503967,44.792923,43.239147,38.978725,38.076473,38.019917,35.94191,33.999535,33.926636,33.536026,33.20766,32.942623,32.227383,32.055016,31.893122,31.729273,31.605965,31.309107,31.2327
Run_2,106.4819,83.36874,83.36874,78.670815,78.670815,78.670815,74.87197,74.87197,74.87197,74.44063,74.44063,70.71965,66.91406,66.91406,61.80335,61.185062,57.88665,57.49332,57.338413,52.66614,49.758293,47.297897,44.2261,43.31499,41.741264,39.361645,38.24895,37.9509,36.75159,35.27936,34.63806,34.239597,34.11958,33.903442,33.689297,33.599136,33.541077,33.468987,33.33215,33.250286
Run_3,102.22084,80.59728,80.59728,79.46059,79.46059,77.91251,77.20965,77.20965,77.20965,72.22478,67.25139,67.25139,65.56898,65.56898,63.76409,63.76409,60.016415,60.016415,57.810658,56.765194,54.58162,49.967117,45.16415,43.31572,42.82495,41.199543,39.421783,38.730854,38.327206,37.25507,36.62265,35.872486,35.181255,35.009693,34.751045,34.475517,34.29993,34.283367,33.92551,33.53808
Run_4,104.19069,80.86748,75.72429,74.980995,74.980995,74.980995,74.980995,74.980995,74.980995,70.73712,70.73712,67.906876,67.906876,67.906876,64.234055,58.446095,55.97807,55.861103,54.57441,47.93715,47.335648,45.37816,42.334717,42.00531,40.74532,38.50439,37.037334,34.96511,33.816265,32.892036,32.01632,31.452824,31.137432,30.528713,30.173931,29.859848,29.446896,29.34814,29.330252,29.302883
Run_5,106.17912,78.42051,75.67378,75.67378,75.67378,75.67378,75.67378,75.67378,74.41898,74.41898,66.858345,66.858345,64.09533,62.276066,62.26346,60.093803,60.093803,56.9276,54.153393,52.618374,51.568363,50.996475,50.355587,49.844215,49.610783,49.610783,48.790516,46.26093,45.542686,45.390312,45.359364,44.743813,44.077137,43.643856,43.583668,43.559273,43.470867,43.43853,43.43853,43.35822
Run_6,107.70928,78.02396,76.063934,76.063934,76.063934,76.063934,72.57703,72.57703,72.57703,72.44057,70.72283,70.72283,65.763954,63.38343,62.607273,59.341805,59.341805,59.341805,57.951084,56.000195,52.994534,51.520905,49.332226,47.460197,42.962322,39.450882,37.280865,36.083652,35.76301,34.426334,33.461506,32.63015,32.375618,31.840342,31.407484,31.25083,31.216118,30.877436,30.663603,30.412024
Run_7,106.64941,76.713394,76.713394,76.713394,76.713394,76.713394,76.713394,76.713394,74.25835,74.25835,72.44652,66.97255,62.028706,59.866383,59.866383,59.866383,59.866383,55.20974,54.82216,49.6989,48.05636,48.05636,44.868248,43.898373,43.38323,41.293495,41.293495,40.012276,39.44885,38.770893,38.65732,38.64768,38.544785,38.427166,38.07865,37.29141,36.435394,36.224403,36.182453,36.172142
Run_8,109.94632,82.980194,79.40068,79.40068,78.733925,75.54354,75.54354,75.54354,75.54354,75.54354,70.56858,70.56858,66.69397,65.089,65.089,59.469715,59.469715,59.469715,54.114082,51.481197,46.81906,46.81906,44.458298,42.589157,40.39657,38.4089,37.899734,37.815903,36.486248,36.072906,35.606018,35.358406,35.325436,35.134773,35.123062,35.031372,34.817978,34.784184,34.516617,34.486515
Run_9,112.0354,79.783104,79.783104,79.77728,75.1924,75.1924,75.1924,75.1924,74.11211,74.11211,71.246025,71.246025,66.94356,66.67803,66.16099,61.13059,61.017616,56.841625,52.35827,51.281895,47.658134,44.140182,42.30728,41.10092,40.089718,38.733257,37.244396,35.55668,34.776398,34.150043,33.679688,32.986984,32.680595,32.12035,31.914022,31.790838,31.5808,31.10914,31.008507,30.965813
Run_10,103.969925,83.322296,81.18233,79.109856,79.109856,77.82306,76.319336,76.319336,74.61671,69.54595,69.54595,69.54595,65.32764,64.58289,60.811516,60.811516,58.808624,57.244118,56.439514,54.07902,52.663185,52.61921,49.590473,47.097054,44.384506,40.06466,37.462196,36.624058,35.958725,34.998226,34.952667,34.502106,34.502106,34.303658,33.675617,33.3816,33.205643,32.92495,32.67219,32.53648
