Iteration,Mean_RMSE,Std_Dev,Best_RMSE
0,105.94301,2.6244197,100.29221
1,90.7769,3.5841267,84.131516
2,88.902725,2.727228,84.131516
3,88.75579,2.5696228,84.131516
4,87.34116,2.6224966,82.48034
5,87.14242,2.678368,82.48034
6,86.77455,2.5730283,82.41361
7,86.37605,2.5845058,82.05896
8,85.70809,2.9059877,80.05855
9,85.49585,3.0459547,79.783104
10,85.34828,2.6989272,79.783104
11,85.29153,2.6598198,79.783104
12,85.29153,2.6598198,79.783104
13,85.172264,2.593427,79.783104
14,84.931564,2.5369327,79.783104
15,84.89394,2.5398674,79.783104
16,84.85161,2.494904,79.783104
17,84.71962,2.3193705,79.783104
18,84.1067,2.2828941,79.783104
19,83.79981,2.7727845,76.713394
20,83.79981,2.7727845,76.713394
21,83.43393,3.308631,75.50483
22,83.321526,3.205309,75.50483
23,83.321526,3.205309,75.50483
24,83.321526,3.205309,75.50483
25,83.158195,3.1513152,75.50483
26,83.126465,3.1619182,75.50483
27,83.09386,3.1342142,75.50483
28,82.92968,3.1343322,75.50483
29,82.89195,3.109184,75.50483
30,82.89195,3.109184,75.50483
31,82.80443,2.9797158,75.50483
32,82.58409,3.2260797,75.50483
33,82.1418,3.1467478,75.50483
34,81.97721,3.3325207,75.50483
35,81.938774,3.3406549,75.50483
36,81.79584,3.3083513,75.50483
37,81.658554,3.3334465,75.50483
38,81.56413,3.42065,75.50483
39,81.27644,3.274494,75.50483
40,81.22562,3.2979295,75.50483
41,81.22562,3.2979295,75.50483
42,81.15984,3.2966871,75.50483
43,81.09966,3.3420832,75.50483
44,81.09966,3.3420832,75.50483
45,81.09717,3.3394725,75.50483
46,80.91957,3.2434175,75.50483
47,80.80891,3.2265956,75.50483
48,80.48917,3.2241309,75.50483
49,80.48917,3.2241309,75.50483
50,80.3412,3.005114,75.50483
51,79.96154,3.048036,75.50483
52,79.93949,3.0471525,75.50483
53,79.891624,3.044385,75.50483
54,79.891624,3.044385,75.50483
55,79.891624,3.044385,75.50483
56,79.891624,3.044385,75.50483
57,79.891624,3.044385,75.50483
58,79.75919,2.7924461,75.50483
59,79.75919,2.7924461,75.50483
60,79.75919,2.7924461,75.50483
61,79.67903,2.863234,75.50483
62,79.661194,2.8845012,75.50483
63,79.661194,2.8845012,75.50483
64,79.661194,2.8845012,75.50483
65,79.661194,2.8845012,75.50483
66,79.661194,2.8845012,75.50483
67,79.661194,2.8845012,75.50483
68,79.661194,2.8845012,75.50483
69,79.661194,2.8845012,75.50483
70,79.661194,2.8845012,75.50483
71,79.661194,2.8845012,75.50483
72,79.661194,2.8845012,75.50483
73,79.661194,2.8845012,75.50483
74,79.661194,2.8845012,75.50483
75,79.661194,2.8845012,75.50483
76,79.58358,2.8394704,75.50483
77,79.53066,2.831627,75.50483
78,79.43762,2.735024,75.50483
79,79.40686,2.7156792,75.50483
80,79.3845,2.705701,75.50483
81,79.3845,2.705701,75.50483
82,79.3845,2.705701,75.50483
83,79.3845,2.705701,75.50483
84,79.23708,2.7011986,75.50483
85,79.01892,2.5045035,75.50483
86,78.79753,2.3995628,75.50483
87,78.547226,2.4662833,75.50483
88,78.50797,2.4496398,75.50483
89,78.50797,2.4496398,75.50483
90,78.50797,2.4496398,75.50483
91,78.50797,2.4496398,75.50483
92,78.50797,2.4496398,75.50483
93,78.50797,2.4496398,75.50483
94,78.50797,2.4496398,75.50483
95,78.50797,2.4496398,75.50483
96,78.50797,2.4496398,75.50483
97,78.50797,2.4496398,75.50483
98,78.48077,2.4058554,75.50483
99,78.48077,2.4058554,75.50483
100,78.48077,2.4058554,75.50483
101,78.48077,2.4058554,75.50483
102,78.48077,2.4058554,75.50483
103,78.48077,2.4058554,75.50483
104,78.48077,2.4058554,75.50483
